metric,value
A1_count_jsd_mean,0.1521334181113839
A1_range_are_nonzero,0.24116159802813011
A1_range_smape,0.09857927371612225
B1_dest16_macro_f1,0.007065837106766011
B1_dest16_top1,0.030364963503649634
B1_dest16_top5,0.1927007299270073
B1_dest8_macro_f1,0.04598838503315169
B1_dest8_top1,0.17927007299270073
B1_dest8_top5,0.5071532846715329
B2_grid_route_best5_transition_f1,0.46049051013331654
B2_grid_route_mrr,0.4224005378955038
B2_grid_route_od_coverage,0.9571330589849109
B2_grid_route_top1_hit,0.3041838134430727
B2_grid_route_top1_transition_f1,0.24931659836366152
B2_grid_route_top3_hit,0.49382716049382713
B2_grid_route_top5_hit,0.5898491083676269
B2_next_region_accuracy,0.57541231787627
B2_next_region_nll,2.5514463868725077
OD_jsd,0.33788058949801686
OD_ndcg20,0.9285407101147641
OD_spearman,0.5213693822822068
OD_top20_overlap,0.75
conditional_nn_dtw_km,1.1801804919527752
conditional_nn_frechet_km,4.01573892562831
directed_road_validity,0.3282589436365375
grid_density_jsd,0.18886739046556006
path_length_jsd,0.03187251535794571
road_segment_jsd,0.1624985723708611
route_compatible_yield,0.007825731472288735
trip_error,0.485888093886532
witness_valid,1.0
