metric,value
A1_count_jsd_mean,0.15040440278462985
A1_range_are_nonzero,0.22886139325785762
A1_range_smape,0.0955023886435364
B1_dest16_macro_f1,0.007067064987783256
B1_dest16_top1,0.036204379562043795
B1_dest16_top5,0.15445255474452554
B1_dest8_macro_f1,0.042757491806321456
B1_dest8_top1,0.19240875912408759
B1_dest8_top5,0.4910948905109489
B2_grid_route_best5_transition_f1,0.43386622603354186
B2_grid_route_mrr,0.4432049477377883
B2_grid_route_od_coverage,0.9571330589849109
B2_grid_route_top1_hit,0.3381344307270233
B2_grid_route_top1_transition_f1,0.2700394323522083
B2_grid_route_top3_hit,0.4828532235939643
B2_grid_route_top5_hit,0.5665294924554184
B2_next_region_accuracy,0.5676098971061603
B2_next_region_nll,2.5535593526687608
OD_jsd,0.33788058949801686
OD_ndcg20,0.9285407101147641
OD_spearman,0.5213693822822068
OD_top20_overlap,0.75
conditional_nn_dtw_km,1.1677739427525824
conditional_nn_frechet_km,4.056429840747958
directed_road_validity,0.6094416904216831
grid_density_jsd,0.19796560216533393
path_length_jsd,0.03398627448330955
road_segment_jsd,0.30613871012661203
route_compatible_yield,0.639023535595398
trip_error,0.485888093886532
witness_valid,1.0
