metric,value
A1_count_jsd_mean,0.31286457193248135
A1_range_are_nonzero,0.725750556282834
A1_range_smape,0.5871228126872937
B1_dest16_macro_f1,0.0031292410120301356
B1_dest16_top1,0.01927007299270073
B1_dest16_top5,0.11182481751824817
B1_dest8_macro_f1,0.05358563672561883
B1_dest8_top1,0.185985401459854
B1_dest8_top5,0.5433576642335767
B2_grid_route_best5_transition_f1,0.3915129656974945
B2_grid_route_mrr,0.36350603510253277
B2_grid_route_od_coverage,0.8124142661179699
B2_grid_route_top1_hit,0.28017832647462276
B2_grid_route_top1_transition_f1,0.22359193445958067
B2_grid_route_top3_hit,0.42112482853223593
B2_grid_route_top5_hit,0.45987654320987653
B2_next_region_accuracy,0.4657254953868425
B2_next_region_nll,3.491545472569036
OD_jsd,0.4767217067094009
OD_ndcg20,0.7782752924560284
OD_spearman,0.3679929083997908
OD_top20_overlap,0.45
conditional_nn_dtw_km,1.5850074853244072
conditional_nn_frechet_km,5.395619115973724
directed_road_validity,0.0008412663272083241
grid_density_jsd,0.7767172412709793
path_length_jsd,0.32248833147866923
road_segment_jsd,0.17068293711084306
route_compatible_yield,0.0
trip_error,0.4521403646688208
witness_valid,
