metric,value
A1_count_jsd_mean,0.6504772667740217
A1_range_are_nonzero,1.5950480891528336
A1_range_smape,0.5758209455997666
B1_dest16_macro_f1,0.0024551067226844963
B1_dest16_top1,0.005255474452554744
B1_dest16_top5,0.028613138686131388
B1_dest8_macro_f1,0.015926343820201135
B1_dest8_top1,0.03182481751824817
B1_dest8_top5,0.12175182481751824
B2_grid_route_best5_transition_f1,0.0077150322958801825
B2_grid_route_mrr,0.004926151428209041
B2_grid_route_od_coverage,0.12551440329218108
B2_grid_route_top1_hit,0.0030864197530864196
B2_grid_route_top1_transition_f1,0.004347487105134675
B2_grid_route_top3_hit,0.0054869684499314125
B2_grid_route_top5_hit,0.006515775034293553
B2_next_region_accuracy,0.022912691510293095
B2_next_region_nll,5.441692257866882
OD_jsd,0.7581344729481997
OD_ndcg20,0.0935271720480554
OD_spearman,0.06073102357105498
OD_top20_overlap,0.1
conditional_nn_dtw_km,3.9729260197563865
conditional_nn_frechet_km,9.925756138826547
directed_road_validity,0.0038020519660454887
grid_density_jsd,0.8900043263312695
path_length_jsd,0.44006311781509033
road_segment_jsd,0.17108512886509222
route_compatible_yield,0.0
trip_error,0.8889225017836875
witness_valid,
