metric,value
A1_count_jsd_mean,0.33946155907102843
A1_range_are_nonzero,0.7916812278388207
A1_range_smape,0.22845853666223034
B1_dest16_macro_f1,0.0017772156451408504
B1_dest16_top1,0.007883211678832117
B1_dest16_top5,0.06481751824817518
B1_dest8_macro_f1,0.02467691261785084
B1_dest8_top1,0.06160583941605839
B1_dest8_top5,0.41197080291970806
B2_grid_route_best5_transition_f1,0.3500407120377147
B2_grid_route_mrr,0.29133716333307996
B2_grid_route_od_coverage,0.97599451303155
B2_grid_route_top1_hit,0.16769547325102882
B2_grid_route_top1_transition_f1,0.12462248936743933
B2_grid_route_top3_hit,0.3737997256515775
B2_grid_route_top5_hit,0.4338134430727023
B2_next_region_accuracy,0.4994979652594931
B2_next_region_nll,3.3398379950876738
OD_jsd,0.5456080630941699
OD_ndcg20,0.6578842865050814
OD_spearman,0.41009005249534014
OD_top20_overlap,0.35
conditional_nn_dtw_km,1.641286936086773
conditional_nn_frechet_km,4.253424498251483
directed_road_validity,0.006117822427874911
grid_density_jsd,0.4673995755079735
path_length_jsd,0.07244107028610307
road_segment_jsd,0.17142399514349738
route_compatible_yield,0.00011680196227296618
trip_error,0.4638120860426791
witness_valid,
