algorithm,layer,metric,value,status
SPRT,executed_unified_evaluation,RoadYield,0.00011680196227296618,VALID
SPRT,executed_unified_evaluation,DirValid,0.006117822427874911,VALID
SPRT,executed_unified_evaluation,WitnessValid,,VALID
SPRT,executed_unified_evaluation,DemandFid,0.5361879139573209,VALID
SPRT,executed_unified_evaluation,GridSim,0.5326004244920265,VALID
SPRT,executed_unified_evaluation,LengthSim,0.927558929713897,VALID
SPRT,executed_unified_evaluation,NextRoadAcc,0.4994979652594931,VALID
SPRT,executed_unified_evaluation,RouteMRR,0.29133716333307996,VALID
SPRT,executed_unified_evaluation,RouteBest5F1,0.3500407120377147,VALID
PrivTrace,executed_unified_evaluation,RoadYield,0.0,VALID
PrivTrace,executed_unified_evaluation,DirValid,0.0,VALID
PrivTrace,executed_unified_evaluation,WitnessValid,,VALID
PrivTrace,executed_unified_evaluation,DemandFid,0.7841889871624114,VALID
PrivTrace,executed_unified_evaluation,GridSim,0.6135489601878561,VALID
PrivTrace,executed_unified_evaluation,LengthSim,0.9762554126926837,VALID
PrivTrace,executed_unified_evaluation,NextRoadAcc,0.4133033667474835,VALID
PrivTrace,executed_unified_evaluation,RouteMRR,0.29284262387874044,VALID
PrivTrace,executed_unified_evaluation,RouteBest5F1,0.3314196570890555,VALID
DPTraj-PM,executed_unified_evaluation,RoadYield,0.0,VALID
DPTraj-PM,executed_unified_evaluation,DirValid,0.0038020519660454887,VALID
DPTraj-PM,executed_unified_evaluation,WitnessValid,,VALID
DPTraj-PM,executed_unified_evaluation,DemandFid,0.11107749821631252,VALID
DPTraj-PM,executed_unified_evaluation,GridSim,0.10999567366873053,VALID
DPTraj-PM,executed_unified_evaluation,LengthSim,0.5599368821849097,VALID
DPTraj-PM,executed_unified_evaluation,NextRoadAcc,0.022912691510293095,VALID
DPTraj-PM,executed_unified_evaluation,RouteMRR,0.004926151428209041,VALID
DPTraj-PM,executed_unified_evaluation,RouteBest5F1,0.0077150322958801825,VALID
DPStd,executed_unified_evaluation,RoadYield,0.0,VALID
DPStd,executed_unified_evaluation,DirValid,0.0008412663272083241,VALID
DPStd,executed_unified_evaluation,WitnessValid,,VALID
DPStd,executed_unified_evaluation,DemandFid,0.5478596353311792,VALID
DPStd,executed_unified_evaluation,GridSim,0.2232827587290207,VALID
DPStd,executed_unified_evaluation,LengthSim,0.6775116685213307,VALID
DPStd,executed_unified_evaluation,NextRoadAcc,0.4657254953868425,VALID
DPStd,executed_unified_evaluation,RouteMRR,0.36350603510253277,VALID
DPStd,executed_unified_evaluation,RouteBest5F1,0.3915129656974945,VALID
MTR-GSRT,executed_unified_evaluation,RoadYield,0.007825731472288735,VALID
MTR-GSRT,executed_unified_evaluation,DirValid,0.3282589436365375,VALID
MTR-GSRT,executed_unified_evaluation,WitnessValid,1.0,VALID
MTR-GSRT,executed_unified_evaluation,DemandFid,0.514111906113468,VALID
MTR-GSRT,executed_unified_evaluation,GridSim,0.81113260953444,VALID
MTR-GSRT,executed_unified_evaluation,LengthSim,0.9681274846420543,VALID
MTR-GSRT,executed_unified_evaluation,NextRoadAcc,0.57541231787627,VALID
MTR-GSRT,executed_unified_evaluation,RouteMRR,0.4224005378955038,VALID
MTR-GSRT,executed_unified_evaluation,RouteBest5F1,0.46049051013331654,VALID
