algorithm,layer,metric,value,status
MTR-GSRT,L1_object_demand,RoadYield,1.0,VALID
MTR-GSRT,L1_object_demand,DirValid,1.0,VALID
MTR-GSRT,L1_object_demand,WitnessValid,1.0,VALID
MTR-GSRT,L1_object_demand,DemandFid,0.7840170242350112,VALID
MTR-GSRT,L2_support_local_choice,EdgeRecall,0.7301723245461305,VALID
MTR-GSRT,L2_support_local_choice,EdgePrecision,0.4115896358543417,VALID
MTR-GSRT,L2_support_local_choice,EdgeF1,0.5264343560113859,VALID
MTR-GSRT,L2_support_local_choice,TurnRecall,0.665295905596281,VALID
MTR-GSRT,L2_support_local_choice,TurnPrecision,0.3815851157339583,VALID
MTR-GSRT,L2_support_local_choice,TurnF1,0.4849968811388033,VALID
MTR-GSRT,L2_support_local_choice,BranchCPC,0.5707388022847939,VALID
MTR-GSRT,L2_support_local_choice,ExitAcc,0.5496873755159136,VALID
MTR-GSRT,L3_strict_route_distribution,BTF,0.2324779453668757,VALID
MTR-GSRT,L3_strict_route_distribution,RC-CPC,0.2286476539203251,VALID
MTR-GSRT,L3_strict_route_distribution,EdgeCPC,0.2955704548254514,VALID
MTR-GSRT,L3_strict_route_distribution,TurnCPC,0.2790703639987571,VALID
MTR-GSRT,L3_strict_route_distribution,FamilyCPC,0.242600333932622,VALID
MTR-GSRT,L3_strict_route_distribution,EdgeIoU,0.1734131256186259,VALID
MTR-GSRT,L3_strict_route_distribution,TurnIoU,0.1621625650234055,VALID
MTR-GSRT,L3_strict_route_distribution,ODPF96,0.2346707442613168,VALID
MTR-GSRT,L3_strict_route_distribution,ODPF384,0.1105390855257748,VALID
MTR-GSRT,L4_ordered_physical_structure,RoadRecovery,0.0375696170712128,VALID
MTR-GSRT,L4_ordered_physical_structure,RoadSupport,0.0699470272929262,VALID
MTR-GSRT,L4_ordered_physical_structure,TurnRecovery,0.0417965425099138,VALID
MTR-GSRT,L4_ordered_physical_structure,TurnSupport,0.0418649097945468,VALID
MTR-GSRT,L4_ordered_physical_structure,BackboneRecovery,0.0385857664431687,VALID
MTR-GSRT,L4_ordered_physical_structure,BackboneSupport,0.0660771114542825,VALID
MTR-GSRT,L4_ordered_physical_structure,TotalLengthRetention,0.5507165672665483,VALID
MTR-GSRT,L4_ordered_physical_structure,BackboneLengthRetention,0.6247724397764208,VALID
MTR-GSRT,L4_ordered_physical_structure,ClosedLengthRetention,0.3994977827473573,VALID
MTR-GSRT,L4_ordered_physical_structure,ClosedSegmentRetention,2.263247697400026,VALID
MTR-GSRT,L4_ordered_physical_structure,RepeatedEdgeRetention,0.563762624571848,VALID
MTR-GSRT,L5_strict_tstr,NextCellHit1,0.46524718551150274,VALID
MTR-GSRT,L5_strict_tstr,NextCellMRR,0.523773620565735,VALID
MTR-GSRT,L5_strict_tstr,DestinationHit5,0.1224373576309795,VALID
MTR-GSRT,L5_strict_tstr,RoadContinuationHit1,0.5012179251893624,VALID
MTR-GSRT,L5_strict_tstr,RouteRetrievalNDCG5,,INVALID_HISTORICAL_EVALUATOR
