M,R,BTF,FamilyCPC,ODPF96,ODPF384,RoadYield
SPRT,Original,0.0,0.0,0.0,0.0,0.0
SPRT,Nearest,0.0,0.0,0.0,0.0,0.0
SPRT,Full FMM,0.0089984950342541,0.0028151715976716,0.0010449853383507,0.0006655897532718,0.0174034923786719
SPRT,Full STMatch,0.2864899861135341,0.0764959667258665,0.1562930317183491,0.0660107798498847,0.9284003971266718
SPRT,Family additive,0.2838537134737606,0.08276696403081245,0.15700568003904528,0.06654668349685638,0.930970040296677
SPRT,Family residual,0.28648998611353416,0.0764959667258665,0.15629303171834913,0.06601077984988475,0.9284003971266718
SPRT,Family length-OT,0.28385208860882427,0.08241896049511002,0.15621469165430363,0.06611303213725157,0.9315540501080418
SPRT,Self-carrier reweight,0.2834179722789888,0.08229428836077753,0.15619029058650286,0.06624817368121927,0.9311452432400864
PrivTrace,Original,0.0,0.0,0.0,0.0,0.0
PrivTrace,Nearest,0.0,0.0,0.0,0.0,0.0
PrivTrace,Full FMM,0.0469227136286545,0.0427960528382295,0.0252186079742959,0.0168956757676272,0.1847807043158325
PrivTrace,Full STMatch,0.2252936239590685,0.1532619972716737,0.1538129472082461,0.0821108407897577,0.5404426794370145
PrivTrace,Family additive,0.2164887614828416,0.17934822061982753,0.1824341164703067,0.09995073982605349,0.6689832389184138
PrivTrace,Family residual,0.2252936239590685,0.1532619972716737,0.15381294720824618,0.08211084078975771,0.5404426794370145
PrivTrace,Family length-OT,0.2160240997353803,0.18016237334141796,0.18321171185338547,0.10052927639242253,0.6727793026922853
PrivTrace,Self-carrier reweight,0.216308780525187,0.1808232467548483,0.18345202899174362,0.10123558352845402,0.6727209017111487
DPTraj-PM,Original,0.0,0.0,0.0,0.0,0.0
DPTraj-PM,Nearest,0.0,0.0,0.0,0.0,0.0
DPTraj-PM,Full FMM,0.0005350467964709,1.898613570014749e-05,5.300613141143184e-07,4.45381737477451e-07,0.0009344156981837
DPTraj-PM,Full STMatch,0.0303738273280928,0.0010602802828282,0.0010764143588921,0.000468157500653,0.1549378029550896
DPTraj-PM,Family additive,0.030479438659953867,0.0010697151823704425,0.0011140414237920191,0.0005035002181808233,0.16048589616305553
DPTraj-PM,Family residual,0.030373827328092854,0.0010602802828282734,0.0010764143588921473,0.00046815750065305777,0.15493780295508963
DPTraj-PM,Family length-OT,0.03047580529535951,0.0010851646849499741,0.0011130251570570307,0.0005036098754984619,0.16036909420078257
DPTraj-PM,Self-carrier reweight,0.030456269506528806,0.0010856998333826989,0.001114408622038153,0.0005032217805105437,0.16048589616305553
DPStd,Original,0.0,0.0,0.0,0.0,0.0
DPStd,Nearest,0.0,0.0,0.0,0.0,0.0
DPStd,Full FMM,0.0018149319894602,0.1094205436037779,0.0083352683565667,0.0015895492035323,0.6350522688781172
DPStd,Full STMatch,0.0818910428296064,0.149029054604452,0.084722814124921,0.0256897247961212,0.7939029375693512
DPStd,Family additive,0.0588150480319755,0.16703052882204758,0.06297043417062076,0.02278853009105215,0.9373357472405537
DPStd,Family residual,0.0818910428296064,0.149029054604452,0.08472281412492105,0.025689724796121277,0.7939029375693512
DPStd,Family length-OT,0.05911206435107022,0.16652292308311578,0.07257416747321052,0.025816218888808154,0.9364597325235064
DPStd,Self-carrier reweight,0.058783197722066985,0.1677823832858719,0.07546436377101848,0.026288135211171928,0.9352917129007767
MTR no-Q5,Original,0.0,0.0,0.0,0.0,0.0
MTR no-Q5,Nearest,0.0,0.0,0.0,0.0,0.0
MTR no-Q5,Full FMM,0.1494114405706548,0.0836692650062018,0.074875401646778,0.0287913007764733,0.322665420779069
MTR no-Q5,Full STMatch,0.3729358640082911,0.2051795155417575,0.2001092273866444,0.0783559768930389,0.991765461659756
MTR no-Q5,Family additive,0.35562590776304054,0.21991125028589725,0.200471607370346,0.08353734032716438,0.9942767038486247
MTR no-Q5,Family residual,0.3729358640082911,0.20517951554175753,0.20010922738664444,0.0783559768930389,0.9917654616597559
MTR no-Q5,Family length-OT,0.35448300196964305,0.21986433172874117,0.2013516355581661,0.0823398130719721,0.9938094959995328
MTR no-Q5,Self-carrier reweight,0.35506547457538024,0.2203188937876945,0.19915329098848994,0.08240946823872537,0.9939262979618058
MTR-GSRT,Original,0.2324779453668757,0.242600333932622,0.2346707442613168,0.1105390855257748,1.0
MTR-GSRT,Nearest,0.0,0.0,0.0,0.0,0.0
MTR-GSRT,Full FMM,0.1706768536030515,0.0854541537174318,0.075407570132272,0.0346008701907975,0.3426969573088828
MTR-GSRT,Full STMatch,0.3992454291172187,0.2094404022640967,0.217234360036353,0.1010132591955261,0.9922910704899842
MTR-GSRT,Family additive,0.38708537519602143,0.22087681511296403,0.21739437923767843,0.10344897745883676,0.9941015009052152
MTR-GSRT,Family residual,0.3992454291172187,0.2094404022640967,0.2172343600363531,0.10101325919552612,0.9922910704899842
MTR-GSRT,Family length-OT,0.38862829262293686,0.22242549977628467,0.21474634416572488,0.1034687960857439,0.9943351048297612
MTR-GSRT,Self-carrier reweight,0.3876052580453404,0.22282892025892806,0.2170889512113487,0.1023431891348202,0.9944519067920341
Joint endpoint + complete-family M,Original,0.0,0.0,0.0,0.0,0.0
Joint endpoint + complete-family M,Nearest,0.0,0.01849276374616,0.011790582235457,0.000208762905042,0.2285814401681948
Joint endpoint + complete-family M,Full FMM,0.0,0.0,0.0,0.0,0.0
Joint endpoint + complete-family M,Full STMatch,0.1647526755115027,0.2347744221385787,0.336137985144479,0.069853732016048,0.9922910704899842
Joint endpoint + complete-family M,Family additive,0.475981019531685,0.412354256396129,0.4286778217963993,0.2411433997485925,1.0
Joint endpoint + complete-family M,Family residual,0.4819078727392192,0.41771996869149,0.4242470880328464,0.2386454842114585,1.0
Joint endpoint + complete-family M,Family length-OT,0.431779909628233,0.4100018195046712,0.4258970133434415,0.1860078609207228,1.0
Joint endpoint + complete-family M,Self-carrier reweight,0.4936679151425508,0.4003000437658349,0.4242875367463137,0.2614629002063965,1.0
